fold_externo,modelo_id,variables,interacciones,n_terminos,n_busqueda,n_evaluacion_externa,mae_interno_ganador,mae_externo,r2_externo,mae_base,r2_base,mae_mediana,r2_mediana,delta_mae_vs_base
1,16560,fage + gained + sex_bin + habit_bin + marital_bin + whitemom_bin,habit_bin × marital_bin,7,540,135,0.8984443256868794,0.8605085913979468,-0.05519025844225278,0.8575303680335825,-0.03174271272582008,0.8387037037037037,-0.004267691487255476,0.002978223364364263
2,15124,fage + visits + gained + sex_bin + marital_bin + whitemom_bin,fage × visits + marital_bin × whitemom_bin,8,540,135,0.8820742240701659,0.8984029531266824,0.04027828300073466,0.8812016121279029,0.07444858349721506,0.944148148148148,-0.016940905625651315,0.017201340998779457
3,27194,mage + visits + gained + sex_bin + habit_bin + marital_bin + whitemom_bin,mage × visits + sex_bin × marital_bin,9,540,135,0.881970989199336,0.9195393776017453,-0.01359568492855523,0.93126295659642,-0.004557770765263536,0.938925925925926,-0.0006385216556024087,-0.011723578994674688
4,8668,mage + gained + sex_bin + marital_bin + whitemom_bin,mage × gained + marital_bin × whitemom_bin,7,540,135,0.8792437799178476,0.9180537342718114,0.11320094252065038,0.9331656579777591,0.09434604604554186,0.959925925925926,-0.0006143955453781214,-0.015111923705947716
5,17420,mage + visits + gained + sex_bin + habit_bin + whitemom_bin,mage × visits + gained × whitemom_bin,8,540,135,0.8895374852730381,0.9090681228790646,0.0026985873691939277,0.8964558327311886,0.03054281667906289,0.8805185185185185,-0.004465973679108393,0.012612290147876015
