modelo_id,fold,mae,r2
0,1,0.837198997709267,-0.0340991557251189
0,2,0.9413780194166561,-0.006236728646975553
0,3,0.936364302360843,0.006978853145601427
0,4,0.9576192430909591,0.0068322071296959
0,5,0.8785078451549091,-0.010211649730505146
1,1,0.8356671453584329,-0.029990417102781386
1,2,0.929947957485369,0.01982356282332176
1,3,0.9478988189492189,-0.0001870310818539167
1,4,0.9531887611999694,0.025083627590498203
1,5,0.8994503289642323,-0.05488305617235256
2,1,0.8405495649078502,-0.009632420024977106
2,2,0.936706774835107,0.004666637899571335
2,3,0.9561475865652186,-0.02620840643794753
2,4,0.9576330883016638,0.012553710826925912
2,5,0.8841375949044504,0.00046091721558960685
3,1,0.8488255930073103,-0.03695929176890278
3,2,0.9328604470972485,-0.024853024514158495
3,3,0.924967219291137,0.005010967893170792
3,4,0.9540921582326379,0.020496775983699034
3,5,0.8745335198841411,0.02610831180997375
4,1,0.845436596447749,-0.0012102121545776168
4,2,0.9272413190393178,0.010025293193608897
4,3,0.9072764125260825,0.026884153559264212
4,4,0.9604699307463955,0.02263747461305854
4,5,0.8739141858839972,0.035116503747593786
5,1,0.8580921575652114,-0.033639988662728104
5,2,0.9244902029309662,0.0324883486454427
5,3,0.9518739984483693,-0.01180902760907876
5,4,0.9625694814814815,-0.0015849785685531081
5,5,0.8712389049758849,0.03296464196342186
6,1,0.841761695577338,-0.018483093215443835
6,2,0.9370238387988772,-0.0017214737968858085
6,3,0.9495734635734636,-0.01676403977756924
6,4,0.956782289843685,0.0034850263591270636
6,5,0.8766834831834832,0.003929366381638544
7,1,0.8426068278753706,0.004793790412092269
7,2,0.9244277660324172,0.014550728204523411
7,3,0.9525464818614393,-0.003865776157893963
7,4,0.9468037901883664,0.034565414938472205
7,5,0.8885389902586165,0.0025812096901739467
8,1,0.8446524644945698,-0.04285524633759774
8,2,0.9343526966015318,0.007481587660870148
8,3,0.9304389684389685,0.02315627275419918
8,4,0.9557529131426273,0.01733399485494791
8,5,0.8946638981974289,-0.02960155320400526
9,1,0.8358475808372943,-0.028172100372802156
9,2,0.935006168717532,0.009401955421618147
9,3,0.9558872079318209,-0.010362095447405073
9,4,0.9555396674161201,0.022220189065702
9,5,0.9029749759391982,-0.061340337371159626
10,1,0.8354532381304783,-0.028884475603109916
10,2,0.935103159973014,0.009490788008079454
10,3,0.9624859364887233,-0.022679145194447692
10,4,0.9575461603564619,0.018895783157136248
10,5,0.9033572419104503,-0.06163708684370972
11,1,0.8346045854126514,-0.02727969863291224
11,2,0.940040597051167,0.004588680763327968
11,3,0.9514750258743196,-0.01800517699944648
11,4,0.9548242351792077,0.019010627474504327
11,5,0.8840108100005422,-0.011615734658985133
12,1,0.8298619894797483,-0.02372086543398888
12,2,0.9415507889749364,0.012945041066212526
12,3,0.9544254595435249,-0.03173739301846368
12,4,0.9495427925254317,0.0351934035628938
12,5,0.8816192531475934,-0.008025242200553118
13,1,0.8472527258766849,-0.06010967610335771
13,2,0.9364027089372685,-0.023586296015544184
13,3,0.9198811090733575,0.012988319761800704
13,4,0.9517591671799669,0.02860643242963401
13,5,0.8724973508373298,0.01763659858260369
14,1,0.8477169793426983,-0.056542364294609904
14,2,0.942281480636383,-0.029975121745366318
14,3,0.9249455150383357,0.00980373231237519
14,4,0.9493839966379647,0.035048318750481866
14,5,0.8687430958520012,0.02850669944939932
15,1,0.8466830714033805,-0.018918603743656837
15,2,0.9280316853985637,0.010823829768109361
15,3,0.9003487835353082,0.033384716685124105
15,4,0.957192319884299,0.031093208848466225
15,5,0.8726554926468805,0.029582511821778623
16,1,0.8452445821003806,-0.017484445380685498
16,2,0.9275057505359031,0.011764817237330916
16,3,0.9032995237558,0.03243602992099537
16,4,0.9602213165704834,0.026128404250419845
16,5,0.8750552201153268,0.029914819638958368
17,1,0.8544958754787377,-0.05041970121970363
17,2,0.9291430941706553,0.030473896711811332
17,3,0.9481476820626983,-0.0061283520225230426
17,4,0.9617301360397215,0.00032861699162123337
17,5,0.8698456811021277,0.022795195958907444
18,1,0.8533651681247545,-0.04640097935154519
18,2,0.9287733406600165,0.031255025063807396
18,3,0.9472514843812734,-0.0044777224326291165
18,4,0.9816499817577717,-0.017318666564668073
18,5,0.876330603733728,-0.0027070019756390007
19,1,0.8382270238636025,-0.033375342463065616
19,2,0.9412426201239295,-0.005637810166485124
19,3,0.9466648749665149,-0.010246778397374312
19,4,0.9558556982000821,0.006324541573854758
19,5,0.8772655369533316,-0.008771755521159053
20,1,0.8379311161364303,-0.0324558779414319
20,2,0.9400249344882451,-0.005543309649671535
20,3,0.9466689055237615,-0.009274823448678582
20,4,0.9551773363364673,0.005382657479062636
20,5,0.8786983537361588,-0.010218125376380893
21,1,0.8332561395394058,-0.009229388207391054
21,2,0.9250634523033988,0.013982774092868078
21,3,0.9473424952326803,0.0037599575583647793
21,4,0.9419197806380354,0.043194869667584124
21,5,0.8882939508987047,-0.008613389296022955
22,1,0.8325560475356126,-0.002081269412489206
22,2,0.9256939650463827,0.01181942726607299
22,3,0.9467737341816539,-0.0016271192514309973
22,4,0.9408916757746186,0.046794925470748594
22,5,0.8975432269556103,-0.016962461071069468
23,1,0.8417753322704997,-0.046578448263078
23,2,0.9379966064322524,0.004817222279632327
23,3,0.930570900496563,0.02188379089286907
23,4,0.9577012222004176,0.013234726382006512
23,5,0.8928712452888077,-0.029484158395302495
24,1,0.8428239368419186,-0.04525371927281818
24,2,0.9372493608647399,0.0030024401049848493
24,3,0.9304672730487976,0.022141971252256476
24,4,0.9686079064815043,0.0024070219131351323
24,5,0.8920221714149584,-0.027666463173965372
25,1,0.8308312247999974,-0.022398778621936177
25,2,0.9274629633386401,0.02875760340937794
25,3,0.9618440564513738,-0.019209024040703904
25,4,0.9502409670565857,0.035346757968911846
25,5,0.9069823910768103,-0.05997078430830394
26,1,0.8253716868506292,-0.0183768271982232
26,2,0.9256881637066817,0.047562073757915435
26,3,0.957928934992855,-0.023767364840980187
26,4,0.9448525635866982,0.060337510809214456
26,5,0.9107036461774121,-0.07187419684200003
27,1,0.8425093416492686,-0.05601554816556398
27,2,0.922406475181518,0.005222827650043782
27,3,0.9302342731196777,0.006117322640140643
27,4,0.9483088155952089,0.04951872083125741
27,5,0.8921063817304127,-0.025587772485949234
28,1,0.8420252753780709,-0.05553874480887622
28,2,0.9349196132295032,-0.020909074833487917
28,3,0.9297326936504208,0.0057779892471624406
28,4,0.9506952041380559,0.041278711905655685
28,5,0.8942228764896882,-0.03908696608986251
29,1,0.8452498455185087,-0.014605333379407393
29,2,0.9138341888508205,0.03774758568153569
29,3,0.9102063089834318,0.026984005714265957
29,4,0.9508846395193841,0.04901094314806853
29,5,0.895340787207512,-0.017071595263291828
30,1,0.8440672307518625,-0.012368710352171242
30,2,0.9124624013919118,0.039498631127391604
30,3,0.9108100559458834,0.028412313486335994
30,4,0.9536464922676058,0.04644151000921726
30,5,0.9020823773515181,-0.02146933805288187
31,1,0.8533218415946422,-0.049850814277788036
31,2,0.9191952756987213,0.05063784902107771
31,3,0.954487913553503,-0.009133805953663865
31,4,0.9575880732454921,0.015677114122474967
31,5,0.8869185208123794,-0.020121590932770772
32,1,0.8513525568217972,-0.049333516971126645
32,2,0.917161502729031,0.04885741407199595
32,3,0.9529503210609532,-0.005487708944949876
32,4,0.9639671661468785,0.011386318065585987
32,5,0.8866767300231838,-0.016299569085522547
33,1,0.8359489015265329,-0.03007086712032403
33,2,0.9299527763345498,0.019683871356421467
33,3,0.9525078127521536,-0.007383943936495108
33,4,0.9527960079157917,0.024341441937325015
33,5,0.9038262038278634,-0.06349361862842207
34,1,0.8359752081031976,-0.030100945465186824
34,2,0.9300074355816564,0.019695223908831716
34,3,0.9553964709908372,-0.010438610348171506
34,4,0.9530734937121397,0.023866711297653498
34,5,0.9045514904944159,-0.06598433017334626
35,1,0.8283418715830921,0.0007790077035101373
35,2,0.916803195520373,0.038486667830673005
35,3,0.9599778614992273,-0.004228314114696152
35,4,0.9369438431900764,0.05836885368146205
35,5,0.90987211711784,-0.05146578237820143
36,1,0.8300346498690732,-0.0032842208568708564
36,2,0.9173809961693433,0.036707376079137766
36,3,0.9606983727315358,-0.007059977717760901
36,4,0.9374519421669013,0.054366128545049186
36,5,0.9098697512817654,-0.05148690714402582
37,1,0.8393199800709975,-0.04098184509701519
37,2,0.9325520543785651,0.013782620173169446
