ranking_mae,modelo_id,variables,interacciones,n_variables,n_interacciones,n_terminos,mae_promedio,mae_desvio,r2_promedio,r2_desvio,delta_mae_vs_base,delta_r2_vs_base,folds_mejora_mae_vs_base
15402,23733,fage + mage + visits + sex_bin + marital_bin + whitemom_bin + mature_bin,fage × visits + sex_bin × whitemom_bin,7,2,9,0.9044775237218967,0.04390134746336194,0.020932453359187697,0.052915836882108346,0.004554238228525964,-0.01167493918695954,2
15403,21272,fage + mage + visits + gained + sex_bin + habit_bin + mature_bin,mage × gained + visits × mature_bin,7,2,9,0.9044777535117652,0.03681021964661894,0.01785562284219635,0.034648737631631586,0.004554468018394431,-0.014751769703950889,3
15404,24373,fage + mage + gained + sex_bin + habit_bin + marital_bin + mature_bin,,7,0,7,0.9044792348673012,0.02931566201542836,0.016217974528526313,0.04555894543648598,0.004555949373930446,-0.016389418017620925,2
15405,24393,fage + mage + gained + sex_bin + habit_bin + marital_bin + mature_bin,habit_bin × mature_bin,7,1,8,0.9044792348673012,0.02931566201542836,0.016217974528526292,0.04555894543648596,0.004555949373930446,-0.016389418017620946,2
15406,12343,fage + mage + visits + sex_bin + whitemom_bin + mature_bin,fage × visits + fage × whitemom_bin,6,2,8,0.9044808624455994,0.044863950238313,0.025793140347815012,0.05575055311769724,0.004557576952228692,-0.0068142521983322255,2
15407,1780,fage + sex_bin + marital_bin + mature_bin,fage × sex_bin + marital_bin × mature_bin,4,2,6,0.9044814858844539,0.03942566383962911,0.014404177230661142,0.02438755543614187,0.004558200391083123,-0.018203215315486097,3
15408,17185,fage + sex_bin + habit_bin + marital_bin + whitemom_bin + mature_bin,fage × habit_bin + sex_bin × habit_bin,6,2,8,0.9044817269326597,0.037847471023985085,0.029863360892703406,0.03609398179100303,0.004558441439288963,-0.0027440316534438312,3
15409,16158,fage + visits + sex_bin + habit_bin + marital_bin + mature_bin,visits × marital_bin + sex_bin × marital_bin,6,2,8,0.9044818438271156,0.04340372972931914,0.021862648439812206,0.0353084233460479,0.004558558333744855,-0.010744744106335032,3
15410,12136,fage + mage + visits + sex_bin + marital_bin + whitemom_bin,fage × whitemom_bin + mage × visits,6,2,8,0.9044820178735999,0.05018255563241667,0.026745640920958748,0.07053304758666955,0.004558732380229191,-0.00586175162518849,2
15411,23184,fage + mage + visits + sex_bin + habit_bin + marital_bin + whitemom_bin,visits × habit_bin + marital_bin × whitemom_bin,7,2,9,0.9044820454059451,0.04605502698592941,0.03139307723139251,0.059499201209421246,0.004558759912574373,-0.0012143153147547298,1
15412,18532,mage + visits + sex_bin + habit_bin + marital_bin + whitemom_bin,mage × habit_bin + sex_bin × habit_bin,6,2,8,0.9044822610506245,0.03817008322156135,0.035042143882997465,0.05006960340726021,0.004558975557253708,0.002434751336850227,1
15413,7182,fage + sex_bin + habit_bin + marital_bin + mature_bin,sex_bin × habit_bin + marital_bin × mature_bin,5,2,7,0.9044830822708694,0.03492821748423643,0.02157013567701558,0.0373672802468204,0.004559796777498626,-0.011037256869131658,2
15414,13192,fage + mage + gained + sex_bin + habit_bin + mature_bin,fage × gained + mage × gained,6,2,8,0.9044836703361531,0.0315991249076799,0.014068425179624876,0.04633528684740508,0.004560384842782317,-0.01853896736652236,2
15415,14849,fage + visits + gained + sex_bin + habit_bin + marital_bin,gained × marital_bin + habit_bin × marital_bin,6,2,8,0.9044836805372694,0.03242016850485603,0.01099866710188233,0.0498851500435137,0.004560395043898602,-0.021608725444264905,2
15416,25836,fage + visits + gained + sex_bin + habit_bin + marital_bin + mature_bin,fage × sex_bin + gained × marital_bin,7,2,9,0.9044838176222063,0.03253135780093529,0.018488018349480707,0.045018826487140624,0.004560532128835559,-0.01411937419666653,1
15417,17168,fage + sex_bin + habit_bin + marital_bin + whitemom_bin + mature_bin,fage × sex_bin + fage × habit_bin,6,2,8,0.9044840178623799,0.04154555222753074,0.03219107218980055,0.03722778376067209,0.004560732369009113,-0.00041632035634668607,3
15418,20921,fage + mage + visits + gained + sex_bin + habit_bin + whitemom_bin,fage × mage + mage × gained,7,2,9,0.9044842322773198,0.03420309241686028,0.024915208492224193,0.04491143458566084,0.004560946783949027,-0.007692184053923044,2
