fold,mae_ganador,mae_base,mae_mediana,r2_ganador,r2_base,delta_mae
1,0.8583456188425197,0.8575303680335825,0.8387037037037037,-0.04605602464108527,-0.03174271272582008,0.0008152508089371846
2,0.8904810156838502,0.8812016121279029,0.944148148148148,0.06405119704110473,0.07444858349721506,0.009279403555947252
3,0.9125837077502353,0.93126295659642,0.938925925925926,0.015835243583585346,-0.004557770765263536,-0.01867924884618466
4,0.9194759959298601,0.9331656579777591,0.959925925925926,0.09571822309752576,0.09434604604554186,-0.01368966204789901
5,0.849624218150044,0.8964558327311886,0.8805185185185185,0.10111917940924575,0.03054281667906289,-0.0468316145811446
