procedimiento,mae_promedio,mae_desvio,r2_promedio,r2_desvio
Búsqueda exhaustiva (evaluación anidada),0.9011145558554501,0.02421707140162639,0.01747837390395419,0.06353624034125543
Base fija de 9 variables,0.8999232854933708,0.03258417578461886,0.03260739254614724,0.052651672533049906
Mediana del entrenamiento,0.9124444444444444,0.051033925884854774,-0.005385497598599143,0.006725319041100844
