comparacion_id,nombre,fold,n_train_antes_filtro,n_train_efectivo,n_excluidos,n_validacion,mae,r2
0,Ramiro 1,1,432,432,0,108,1.060839373318139,-0.0071010496110037735
0,Ramiro 1,2,432,432,0,108,0.9378792956847922,0.028689640785776183
0,Ramiro 1,3,432,432,0,108,0.7676655906413731,0.014246301420337781
0,Ramiro 1,4,432,432,0,108,1.0441247042227522,-0.08807108461627733
0,Ramiro 1,5,432,432,0,108,0.856744909658078,0.021475428570923327
1,Ramiro 2,1,432,432,0,108,1.0642348050923214,-0.011069417904143064
1,Ramiro 2,2,432,432,0,108,0.9155777609758998,0.0779877583017703
1,Ramiro 2,3,432,432,0,108,0.775264941172987,0.010595852733780053
1,Ramiro 2,4,432,432,0,108,1.0355338166719774,-0.07738516755206626
1,Ramiro 2,5,432,432,0,108,0.8585969779183412,0.019139857387710846
2,Ramiro 3,1,432,432,0,108,1.054788703907262,0.013262464701481402
2,Ramiro 3,2,432,432,0,108,0.9501603482795561,-0.0011441742993603121
2,Ramiro 3,3,432,432,0,108,0.7734166212081455,0.005072516924873316
2,Ramiro 3,4,432,432,0,108,1.0466250841694993,-0.06940547495050287
2,Ramiro 3,5,432,432,0,108,0.8238517024979258,0.07067608236932599
3,Ramiro 4,1,432,432,0,108,1.0641541992645411,-0.02212394451769617
3,Ramiro 4,2,432,432,0,108,0.9752764667369339,-0.031757358883193865
3,Ramiro 4,3,432,432,0,108,0.7670197972185532,0.00482845448265079
3,Ramiro 4,4,432,432,0,108,0.9868013048945897,0.0009820508845550524
3,Ramiro 4,5,432,432,0,108,0.831259542747216,0.05679442513351285
4,Ramiro 5,1,432,432,0,108,1.0698487014847748,-0.03326384751988254
4,Ramiro 5,2,432,432,0,108,0.9616859657060561,-0.022771139009206243
4,Ramiro 5,3,432,432,0,108,0.7635600786216307,-0.05568230970148891
4,Ramiro 5,4,432,432,0,108,1.0086176953441481,-0.06912431421754195
4,Ramiro 5,5,432,432,0,108,0.8721668273990238,-0.03226346892054344
5,Ramiro 6,1,432,429,3,108,1.0617197683286232,0.004330845964127916
5,Ramiro 6,2,432,424,8,108,0.9272507108081395,0.07666610915977223
5,Ramiro 6,3,432,424,8,108,0.7437489262745559,0.07159609462732575
5,Ramiro 6,4,432,426,6,108,0.9779249362927954,-0.018687675044105845
5,Ramiro 6,5,432,425,7,108,0.8413061642567755,0.035389037865373285
6,Ramiro 7,1,432,432,0,108,1.0681197953191226,-0.047470743720811726
6,Ramiro 7,2,432,432,0,108,1.0285860344295379,-0.16727758158392736
6,Ramiro 7,3,432,432,0,108,0.7420114553126539,0.04473059225837783
6,Ramiro 7,4,432,432,0,108,0.9934223016963641,-0.014347917897841178
6,Ramiro 7,5,432,432,0,108,0.8499122809297136,0.03580087526572273
7,FB 16661,1,432,432,0,108,1.037533556142269,0.02657169377931834
7,FB 16661,2,432,432,0,108,0.9702797053803193,-0.0038422767899057853
7,FB 16661,3,432,432,0,108,0.7546883522534334,0.03448930470548717
7,FB 16661,4,432,432,0,108,1.0145147613140535,-0.05873394597100634
7,FB 16661,5,432,432,0,108,0.8188684862411586,0.056887974331018665
8,FB 20247,1,432,432,0,108,1.0700368470585622,-0.044150408714204614
8,FB 20247,2,432,432,0,108,0.9578919709815478,0.027978738903401967
8,FB 20247,3,432,432,0,108,0.756217098545664,0.03263009045483889
8,FB 20247,4,432,432,0,108,1.0226189774220176,-0.08964168365375991
8,FB 20247,5,432,432,0,108,0.8458022511438391,0.018865271694385455
9,FB 27126,1,432,432,0,108,1.0304209363217882,0.0367378113663106
9,FB 27126,2,432,432,0,108,0.9786409512928381,-0.007673251929418923
9,FB 27126,3,432,432,0,108,0.7498043416019046,0.05247917168018246
9,FB 27126,4,432,432,0,108,1.0281621820348692,-0.07217443594466344
9,FB 27126,5,432,432,0,108,0.8224283943128048,0.05411941319769131
10,FB 10210,1,432,432,0,108,1.0412314295151033,0.012777346849457416
10,FB 10210,2,432,432,0,108,0.960466814666655,0.01671012601834565
10,FB 10210,3,432,432,0,108,0.7536576333967772,0.04115894567507761
10,FB 10210,4,432,432,0,108,1.0161366080267225,-0.06160649400169338
10,FB 10210,5,432,432,0,108,0.8396646561167636,0.03404935986996682
11,FB 25574,1,432,432,0,108,1.0544777164590335,0.005980455677891294
11,FB 25574,2,432,432,0,108,0.9498526600640093,0.02497254554765549
11,FB 25574,3,432,432,0,108,0.7641014014275613,0.006181918404048026
11,FB 25574,4,432,432,0,108,1.0375219380468421,-0.07078389712945832
11,FB 25574,5,432,432,0,108,0.8431562134900635,0.01899024112771952
12,FB 32316,1,432,432,0,108,1.0494186212483714,0.02544251293136035
12,FB 32316,2,432,432,0,108,0.9214603322601524,0.06723363949390848
12,FB 32316,3,432,432,0,108,0.755929427051648,-0.0122276014351832
12,FB 32316,4,432,432,0,108,1.0607797089329059,-0.12796292428109823
12,FB 32316,5,432,432,0,108,0.8302392050728661,0.06274263644111722
13,FB 6743,1,432,432,0,108,1.0536511951367582,-0.01293116269383443
13,FB 6743,2,432,432,0,108,0.9846300077378658,-0.029360400562858935
13,FB 6743,3,432,432,0,108,0.7579222201155322,0.040057347536139654
13,FB 6743,4,432,432,0,108,0.9691266948005235,-0.011645639207300773
13,FB 6743,5,432,432,0,108,0.8246733230905379,0.03641152621106747
14,FB 20630,1,432,432,0,108,1.0298220642331408,0.03374796092318577
14,FB 20630,2,432,432,0,108,0.9821446488963931,-0.0020321268753051847
14,FB 20630,3,432,432,0,108,0.7444397683717066,0.0660022321612479
14,FB 20630,4,432,432,0,108,1.0327738438847438,-0.07591072386154374
14,FB 20630,5,432,432,0,108,0.8293238002920861,0.04678458374065386
15,FB 28899,1,432,432,0,108,1.0571605371006596,-0.00790016320466469
15,FB 28899,2,432,432,0,108,0.940604460496143,0.04239586280297347
15,FB 28899,3,432,432,0,108,0.7528634695720876,0.03556051255198922
15,FB 28899,4,432,432,0,108,1.0650717359071165,-0.13166267363247175
15,FB 28899,5,432,432,0,108,0.8402992708809366,0.04313646216863998
16,FB 31909,1,432,432,0,108,1.0465586439860592,0.012235656187027266
16,FB 31909,2,432,432,0,108,0.9316602112350126,0.05268279166915302
16,FB 31909,3,432,432,0,108,0.7566549243780448,0.011224691470066772
16,FB 31909,4,432,432,0,108,1.0749580803932208,-0.14426099394071712
16,FB 31909,5,432,432,0,108,0.8294577989992802,0.058215426925696034
